Ligand;Grid;Run;dG;VS
CP-10;16;3;-7.76255;-8.24913
CP-10;16;4;-7.77559;-8.38638
CP-10;16;5;-7.59568;-8.16014
CP-10;16;6;-7.55716;-8.08463
CP-10;16;7;-7.70638;-8.20666
CP-10;16;8;-7.34075;-8.00456
CP-10;16;9;-7.55434;-8.03623
CP-10;16;10;-7.83356;-8.41469
CP-10;17;1;-7.06563;-8.30351
CP-10;17;2;-7.78478;-8.22571
CP-10;17;3;-7.14996;-8.33454
CP-10;17;4;-8.40211;-8.95095
CP-10;17;5;-7.287;-8.22526
CP-10;17;6;-7.95709;-8.41872
CP-10;17;7;-6.93219;-8.1205
CP-10;17;8;-8.67635;-8.98008
CP-10;17;9;-8.55879;-8.83989
CP-10;17;10;-7.20255;-8.22586
CP-10;18;1;-5.87633;-6.60822
CP-10;18;2;-6.15595;-7.15835
CP-10;18;3;-6.45508;-7.14011
CP-10;18;4;-5.83028;-6.66804
CP-10;18;5;-6.67673;-7.29908
CP-10;18;6;-6.10416;-7.23672
CP-10;18;7;-6.57109;-7.20006
CP-10;18;8;-6.2087;-6.89146
CP-10;18;9;-6.11592;-7.35214
CP-10;18;10;-6.26684;-7.31494
CP-10;19;1;-5.86443;-6.7787
CP-10;19;2;-6.22857;-7.21096
CP-10;19;3;-6.05683;-6.70057
CP-10;19;4;-6.46043;-7.34181
CP-10;19;5;-5.82183;-6.90758
CP-10;19;6;-6.31731;-7.30459
CP-10;19;7;-6.25099;-7.13575
CP-10;19;8;-6.29743;-7.36507
CP-10;19;9;-6.01068;-7.11985
CP-10;19;10;-6.07042;-7.18568
CP-10;2;1;-6.56629;-7.55684
CP-10;2;2;-6.34542;-7.48348
CP-10;2;3;-6.51772;-7.61534
CP-10;2;4;-6.38197;-7.28435
CP-10;2;5;-6.40857;-7.33448
CP-10;2;6;-6.62461;-7.53034
CP-10;2;7;-6.61239;-7.64006
CP-10;2;8;-6.6073;-7.64747
CP-10;2;9;-6.682;-7.59852
CP-10;2;10;-6.71501;-7.70411
CP-10;20;1;-5.68226;-7.00758
